Property_Area,Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,CoapplicantIncome,Property_Value,Loan_Sanctioned,Loan_Term
Semiurban,Female,No,Graduate,,303116,7885.0,0.0,74330733,Yes,120
Urban,Male,Yes,Not Graduate,No,185837,10624.0,209492.0,228372923,No,180
Semiurban,Female,Yes,Not Graduate,No,250411,8466.0,55029.0,83639266,No,120
Semiurban,Male,No,Not Graduate,No,278714,6640.0,0.0,110516492,Yes,120
Rural,Male,No,Graduate,No,209658,12035.0,147989.0,34324899,Yes,180
Semiurban,Female,No,Graduate,No,415000,8549.0,0.0,117413045,No,120
Rural,Male,Yes,Graduate,No,231155,9130.0,167328.0,39910882,Yes,120
Rural,Male,Yes,Graduate,No,298219,10956.0,354078.0,47384866,No,180
Semiurban,Male,Yes,Graduate,No,453844,2158.0,85656.0,107671169,Yes,60
Urban,Female,No,Graduate,No,221361,6972.0,134875.0,154476114,No,120
Semiurban,Male,Yes,Not Graduate,No,305025,8964.0,20086.0,113234991,Yes,120
Semiurban,Male,No,Not Graduate,Yes,481400,10956.0,0.0,114831745,Yes,180
Rural,Male,Yes,Not Graduate,No,370761,9960.0,0.0,41421067,No,120
Urban,Male,No,Graduate,No,276639,5810.0,0.0,229669549,Yes,120
Rural,Male,Yes,Graduate,No,282200,10209.0,207500.0,28667619,No,180
Urban,Female,No,Graduate,No,197374,747.0,0.0,125777453,No,60
Urban,Male,Yes,Graduate,No,262778,8632.0,171312.0,202258052,No,120
Semiurban,Male,Yes,Graduate,No,531698,12450.0,0.0,105452413,Yes,180
Urban,Male,Yes,Graduate,No,262197,8964.0,38263.0,187743676,Yes,120
Semiurban,,Yes,Graduate,No,256221,11288.0,183430.0,93230580,No,180
Urban,Male,No,Graduate,No,268007,9130.0,227337.0,142946833,Yes,120
Rural,Male,Yes,Graduate,No,147906,8881.0,185256.0,30279313,No,120
Urban,Male,No,Graduate,No,152388,7470.0,2808471.0,138771186,No,120
Semiurban,Female,Yes,Graduate,No,262778,2988.0,0.0,112372206,Yes,60
Rural,Male,Yes,Graduate,No,156040,5063.0,0.0,35658045,No,120
Rural,Male,Yes,Graduate,No,231321,12118.0,159111.0,49650600,No,180
Urban,Male,Yes,Graduate,No,190651,8632.0,126326.0,198573765,No,120
Semiurban,Female,No,Not Graduate,No,179695,5810.0,0.0,98792078,No,120
Semiurban,,No,Graduate,No,394250,7802.0,0.0,105405933,Yes,120
Semiurban,Male,Yes,Graduate,Yes,226258,8798.0,0.0,68939717,No,120
Semiurban,Male,Yes,Graduate,No,249000,4648.0,283528.0,72889853,Yes,60
Rural,Male,Yes,Graduate,No,320297,11786.0,273900.0,63992585,Yes,180
Rural,Male,No,Not Graduate,No,318139,9130.0,0.0,51212411,Yes,120
Semiurban,Male,No,Graduate,No,247921,7304.0,0.0,109495758,No,120
Urban,Male,Yes,Graduate,No,473349,10624.0,0.0,203105648,Yes,180
Rural,Male,Yes,Graduate,No,268256,8964.0,161850.0,59495728,Yes,120
Rural,Female,No,Graduate,No,240700,5893.0,0.0,34510736,Yes,120
Rural,Male,Yes,Graduate,No,340798,3320.0,0.0,33548268,Yes,60
Semiurban,Female,No,Graduate,Yes,380389,11039.0,0.0,78311911,No,180
